edge_id,asset_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,capacity_index,edge_betweenness,name
road_12490,road_12490,road_186,road_11520,road,Trunk,0.9585,100,0.009585,5,0.0001599,Mauripur Road
road_584,road_584,road_187,road_188,road,Trunk,0.1582,100,0.001582,5,0.0258497,Siraj Ud Daula Road
road_2535,road_2535,road_187,road_3169,road,Trunk,1.3309,100,0.013309,5,0.02569619,Jehangir Sethna Road
road_11995,road_11995,road_187,road_11200,road,Trunk,0.0957,100,0.000957,5,7.995e-05,nan
road_11997,road_11997,road_188,road_5629,road,Trunk,0.4398,100,0.004398,5,0.00079309,‎SM Taufiq Road
road_12473,road_12473,road_188,road_4666,road,Motorway,2.1217,120,0.017681,5,0.03570819,لیاری ایکسپریس وے
road_21109,road_21109,road_188,road_11508,road,Motorway,0.7917,120,0.006598,5,0.01131612,لیاری ایکسپریس وے
road_122,road_122,road_189,road_190,road,Motorway,3.054,120,0.02545,5,0.22292805,کراچی - حیدرآباد موٹروے
road_17136,road_17136,road_189,road_14422,road,Motorway,0.9025,120,0.007521,5,0.0001599,nan
road_17792,road_17792,road_189,road_2773,road,Motorway,1.7072,120,0.014227,5,0.22268996,کراچی - حیدرآباد موٹروے
road_17793,road_17793,road_189,road_11089,road,Motorway,1.7128,120,0.014273,5,6.828e-05,کراچی - حیدرآباد موٹروے
road_2398,road_2398,road_190,road_3050,road,Motorway,0.1179,120,0.000983,5,0.22298465,کراچی - حیدرآباد موٹروے
road_124,road_124,road_192,road_193,road,Trunk,8.9868,100,0.089868,5,0.00343348,قومی شاہراہ 25
road_9085,road_9085,road_192,road_9247,road,Trunk,13.7059,100,0.137059,5,0.00335385,قومی شاہراہ 25
road_25443,road_25443,road_193,road_14019,road,Trunk,0.0773,100,0.000773,5,0.00351311,قومی شاہراہ 25
road_125,road_125,road_194,road_195,road,Trunk,21.4147,100,0.214147,5,0.05819092,مکران ساحلی شاہراہ
road_5554,road_5554,road_194,road_1562,road,Trunk,0.1466,100,0.001466,5,0.05826639,مکران ساحلی شاہراہ
