city,lat,lon
Hasan Abdal,33.83178247,72.6480604
Hasilpur,29.63428102,72.53078052
Hassan Khel,33.75371552,71.7499684
Hattian,34.15092867,73.82183474
Haveli,33.93709736,74.09512656
Havelian,34.009315,73.22610354
Hazro,33.90216827,72.43198119
Hub,25.20395504,66.97178355
Huramzai,30.83919972,66.89942862
Hussain Bux Muree,25.62581411,68.98408607
Hyderabad,25.3549688,68.48458431
Hyderabad City,25.3686535,68.35063421
Isakhel,32.85030359,71.33030932
Ishkoman,36.56955755,73.8723755
Islam Kot,24.53923217,70.3391872
Islamabad,33.65087509,72.95796258
Ismailzai,33.60650642,70.92919496
Jacobabad,28.27150553,68.39784926
Jahanian,30.06074208,71.83964903
Jaheen Parome,26.54349794,63.54361137
Jalalpur Pirwala,29.57827353,71.19928742
Jam Nawaz Ali,25.80600922,68.86895482
Jampur,29.55573028,70.37635535
Jamrud,33.990863,71.30494378
Jamshaid Town,24.8997817,67.09946624
Jand,33.35922432,71.94627231
Jandola,32.42788363,70.25692673
Jaranwala,31.36439329,73.45283332
Jati,24.29146776,68.42773952
Jatoi,29.59719874,70.87252577
Jehangira,33.89347133,72.16337681
Jhal Jhao,26.31200793,65.65325296
Jhal Magsi,28.21413093,67.51299284
Jhando Mari,25.57841841,68.78774007
Jhang,31.4074897,72.37774728
Jhat Pat,28.39208735,68.24739834
Jhelum,32.85514503,73.46342572
Jhudo,24.96647179,69.37932125
Jiwani,25.14237803,61.83770337
Johi,26.53307631,67.39305988
Judba,34.6512377,72.85258143
Kabal,34.86106628,72.26728338
Kabirwala,30.49656722,71.86591125
Kahan,29.46431238,68.8063717
Kahror Pacca,29.63757054,71.91001509
Kahuta,33.60741425,73.44812933
Kakar Khurasan,31.46484233,68.42030784
Kakki,32.85319483,70.67325824
Kalam,35.62414436,72.50968341
Kalat,29.04165437,66.76137633
Kalkot,35.48858402,72.23193582
Kallar Kahar,32.76033651,72.67379079
Kallar Sayaddan,33.4378794,73.42743922
Kaloi,24.66587793,69.44789531
Kalur Kot,32.06185282,71.43370701
Kamalia,30.66373054,72.64994191
Kamoke,31.99498216,74.38029346
Kandh Kot,28.19133581,69.20965265
Kandia,35.55349877,73.11617977
Kandiaro,27.07301132,68.12082557
Kanraj,26.10461979,66.83499296
Karak,33.13283539,71.22188165
Karezat,30.60433231,67.38340537
Karor Lal Esan,31.21863859,71.03197648
Kashmore,28.29161773,69.41575388
Kasur,31.06626669,74.38130023
Katlang,34.41132148,72.11815124
Kech (Turbat),25.83963767,63.63912987
Kemari Town,24.91142632,66.83161423
Keti Bunder,24.13569299,67.4496756
Khado Khel,34.25276775,72.52967992
Khairpur,27.50828032,68.70424885
Khairpur Nathan Shah,27.14613727,67.42655718
Khairpur Tamewali,29.61064285,72.25688773
Khaliqabad,29.43553245,66.60807504
Khall,34.90610118,72.01022569
Khander,34.46537824,72.81848209
Khanewal,30.28331229,72.00575624
Khangarh,27.62616498,69.35633424
Khanpur,33.82495011,73.03749898
Khanpur,28.68562292,70.65872729
Khanpur,28.02526821,68.84063901
Khaplu,35.00371217,76.68210098
Khar,34.73338111,71.52771118
Kharan,28.90973868,65.69153516
Kharian,32.73534467,73.82295376
Kharmang,34.89843311,76.09792699
Kharo Chan,23.98874497,67.5879028
Khattan,29.20025678,67.67237936
Khipro,25.86150321,69.68137368
Khui Ratta,33.34727475,74.08413023
Khurshid Abad,33.96322327,74.19597508
Khushab,32.32935163,72.32730597
Khuzdar,27.63260912,66.63078328
Khwaza Khela,35.00218421,72.5202682
Khwazai,34.40298409,71.18056839
Killa Abdullah,30.71669335,66.70220163
Killa Saifullah,31.05339652,68.70129494
Kingri,30.63658054,69.80419254
Kingri,27.59958836,68.60278837
Kirdgap,29.60480822,66.40657492
Kohat,33.56672292,71.40429963
Kohlu,29.8985614,69.17771998
Korangi Town,24.82451384,67.12424659
Kot Addu,30.43392629,71.14165949
Kot Chatta,29.84666762,70.52866861
Kot Diji,27.32104155,68.62374075
Kot Ghulam Muhammad,25.26884144,69.21917336
Kot Momin,32.0962413,73.10994721
Kot Radha Kishen,31.16570693,74.19208421
Kotli,33.50150509,73.93278668
Kotli Sattian,33.81573992,73.52220694
Kotri,25.49611261,68.10809206
Kulachi,32.00884258,70.40397788
Kunri,25.05181249,69.56829003
Lachi,33.28434421,71.5764789
Ladha,32.62256241,70.06082832
Lahor,34.01443749,72.33594078
Lahore Cantt,31.50013561,74.45186512
Lahore City,31.46500427,74.23264438
Lairi,25.53882294,65.37522533
Lakhi,27.87882682,68.74274565
Lakhra,25.87180777,66.34046026
Lakki Marwat,32.53804588,70.90644188
Lalian,31.7583897,72.76394687
Lalqila,34.98099392,71.81480096
Landhi Town,24.84076655,67.18492984
Landi Kotal,34.13125614,71.17285605
Larjam,35.14566332,72.14777213
Larkana,27.58295038,68.21580558
Latifabad,25.25875388,68.38590164
Leepa,34.302867,73.84498995
Lehri,29.04026009,68.14956305
Leiah,30.87436476,71.03278609
Liaqatabad Town,24.90324168,67.04129737
Liaqatpur,28.48518373,70.83566794
Liyari Town,24.84709469,66.99056361
Lodhran,29.59497869,71.56281342
Lora,33.92190557,73.30795708
Loralai,30.46214066,68.62006551
Lotkoh,36.14969543,71.58981404
Lower Kurram,33.57292743,70.27626965
Lower Orakzai,33.73349174,71.26824181
Lower Tanawal,34.1937,73.09047724
Mach,29.70214989,67.40068434
Mailsi,29.84250579,72.12887289
Makhuzai,34.69259923,72.58590712
Makin,32.66035267,69.72749149
Malakwal,32.42984991,73.21034805
Malir Town,24.88465749,67.19790101
Mamund,34.82382144,71.38179119
Mand,26.0261942,61.96107916
Mandanr,34.3817079,72.58673587
Mandi Bahauddin,32.54717089,73.52283148
Manjhand,25.96596199,68.079224
Mankera,31.484567,71.65964172
Mansehra,34.44228936,73.14579497
Mardan,34.19085511,72.0004913
