asset_id,edge_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,hazard_flood,hazard_cyclone,hazard_strike,hazard_accident,exposure_flood,exposure_cyclone,exposure_strike,exposure_accident,vulnerability_flood,vulnerability_cyclone,vulnerability_strike,vulnerability_accident,risk_flood,risk_cyclone,risk_strike,risk_accident,risk_natural,risk_human,composite_risk,edge_betweenness,importance_score,network_criticality_risk,risk_tier,timestamp,analysis_date
access_17,access_17,dryport_7,rail_int_48,intermodal,rail_access,0.2015,30.0,0.006717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015912164850027846,0.0005,0.0,LOW,20260427_163314,2026-04-27 16:33:25
bridge_6,bridge_6,dryport_7,road_5039,intermodal,bridge_access,6.3896,30.0,0.212987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029510700930861647,0.0096,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_11,access_11,dryport_8,road_4170,intermodal,road_access,0.051,30.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003978041212506962,0.0013,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_18,access_18,dryport_8,rail_int_30,intermodal,rail_access,0.0868,30.0,0.002893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003182432970005569,0.001,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_12,access_12,dryport_9,road_2337,intermodal,road_access,0.1196,30.0,0.003987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_19,access_19,station_1,rail_int_47,intermodal,station_rail,0.0039,30.0,0.00013,0.602,0.0,0.0,0.0,0.48160751296,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.1015,0.0,0.0,0.0,0.1015,0.0,0.0609,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_20,access_20,station_2,rail_int_52,intermodal,station_rail,0.4676,30.0,0.015587,0.4833,0.0,0.0,0.0,0.387363171456,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0655,0.0,0.0,0.0,0.0655,0.0,0.0393,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
rail_1,rail_1,station_3,station_15,rail,ML1,165.5594,80.0,2.069492,0.4472,0.0,0.0,0.0,0.6708000000000001,0.0,0.0,0.0,0.65,0.55,0.55,0.65,0.195,0.0,0.0,0.0,0.195,0.0,0.117,0.0008751690667515316,0.0028,0.0003,LOW,20260427_163314,2026-04-27 16:33:25
rail_35,rail_35,station_3,rail_int_52,rail,ML1,5.5704,80.0,0.06963,0.5169,0.0,0.0,0.0,0.6605216988,0.0,0.0,0.0,0.65,0.55,0.55,0.65,0.2219,0.0,0.0,0.0,0.2219,0.0,0.1331,0.0,0.0,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_21,access_21,station_3,rail_int_52,intermodal,station_rail,0.0153,30.0,0.00051,0.5224,0.0,0.0,0.0,0.41794557670399995,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0764,0.0,0.0,0.0,0.0764,0.0,0.0458,0.0009547298910016709,0.0031,0.0001,LOW,20260427_163314,2026-04-27 16:33:25
access_22,access_22,station_4,rail_int_20,intermodal,station_rail,0.0138,30.0,0.00046,0.0026,0.0,0.0,0.0,0.0020801148160000003,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_23,access_23,station_5,rail_int_13,intermodal,station_rail,0.023,30.0,0.000767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_24,access_24,station_6,rail_int_37,intermodal,station_rail,0.0013,30.0,4.3e-05,0.2278,0.0,0.0,0.0,0.182240947648,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0145,0.0,0.0,0.0,0.0145,0.0,0.0087,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_25,access_25,station_7,rail_int_30,intermodal,station_rail,0.0078,30.0,0.00026,0.2251,0.0,0.0,0.0,0.18008561849600002,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0142,0.0,0.0,0.0,0.0142,0.0,0.0085,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_26,access_26,station_8,rail_int_21,intermodal,station_rail,0.0127,30.0,0.000423,0.7599,0.0,0.0,0.0,0.607950882336,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.1617,0.0,0.0,0.0,0.1617,0.0,0.097,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_27,access_27,station_9,rail_int_54,intermodal,station_rail,0.0025,30.0,8.3e-05,0.0084,0.0,0.0,0.0,0.006720067200000001,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_28,access_28,station_10,rail_int_12,intermodal,station_rail,0.0234,30.0,0.00078,0.4528,0.0,0.0,0.0,0.36227390566400003,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0574,0.0,0.0,0.0,0.0574,0.0,0.0344,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_29,access_29,station_11,rail_int_52,intermodal,station_rail,0.043,30.0,0.001433,0.5151,0.0,0.0,0.0,0.41215087776000003,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0743,0.0,0.0,0.0,0.0743,0.0,0.0446,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
rail_7,rail_7,station_12,rail_int_7,rail,ML1,89.693,80.0,1.121163,0.328,0.0,0.0,0.0,0.492,0.0,0.0,0.0,0.65,0.55,0.55,0.65,0.1049,0.0,0.0,0.0,0.1049,0.0,0.0629,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_30,access_30,station_12,rail_int_26,intermodal,station_rail,0.0157,30.0,0.000523,0.3286,0.0,0.0,0.0,0.262896508864,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0302,0.0,0.0,0.0,0.0302,0.0,0.0181,0.00015912164850027846,0.0005,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_31,access_31,station_13,rail_int_47,intermodal,station_rail,0.0075,30.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
